sample_ID;BLUD_or_SPBL;WELL;Volume;Dilution;BACTERIA;NA
C1;BLUD_007_7+35d_prett_t1-t3_df5_025;C1;5.0;5.0;8;0
C2;BLUD_007_7+35d_prett_t1-t3_df5_025;C2;5.0;5.0;15;0
C3;BLUD_007_7+35d_prett_t1-t3_df5_025;C3;5.0;5.0;21;0
C4;BLUD_007_7+35d_prett_t1-t3_df5_025;C4;5.0;5.0;23;0
C5;BLUD_007_7+35d_prett_t1-t3_df5_025;C5;5.0;5.0;27;0
C6;BLUD_007_7+35d_prett_t1-t3_df5_025;C6;5.0;5.0;22;0
C7;BLUD_007_7+35d_prett_t1-t3_df5_025;C7;5.0;5.0;23;0
C8;BLUD_007_7+35d_prett_t1-t3_df5_025;C8;5.0;5.0;32;0
C9;BLUD_007_7+35d_prett_t1-t3_df5_025;C9;5.0;5.0;22;0
C10;BLUD_007_7+35d_prett_t1-t3_df5_025;C10;5.0;5.0;21;0
C11;BLUD_007_7+35d_prett_t1-t3_df5_025;C11;5.0;5.0;38;0
C12;BLUD_007_7+35d_prett_t1-t3_df5_025;C12;5.0;5.0;14;0
D1;BLUD_007_7+35d_prett_t1-t3_df5_025;D1;5.0;5.0;11;0
D2;BLUD_007_7+35d_prett_t1-t3_df5_025;D2;5.0;5.0;11;0
D3;BLUD_007_7+35d_prett_t1-t3_df5_025;D3;5.0;5.0;24;0
D4;BLUD_007_7+35d_prett_t1-t3_df5_025;D4;5.0;5.0;32;0
D5;BLUD_007_7+35d_prett_t1-t3_df5_025;D5;5.0;5.0;23;0
D6;BLUD_007_7+35d_prett_t1-t3_df5_025;D6;5.0;5.0;29;0
D7;BLUD_007_7+35d_prett_t1-t3_df5_025;D7;5.0;5.0;21;0
D8;BLUD_007_7+35d_prett_t1-t3_df5_025;D8;5.0;5.0;14;0
D9;BLUD_007_7+35d_prett_t1-t3_df5_025;D9;5.0;5.0;37;0
D10;BLUD_007_7+35d_prett_t1-t3_df5_025;D10;5.0;5.0;17;0
D11;BLUD_007_7+35d_prett_t1-t3_df5_025;D11;5.0;5.0;19;0
D12;BLUD_007_7+35d_prett_t1-t3_df5_025;D12;5.0;5.0;26;0
E1;BLUD_007_7+35d_prett_t1-t3_df5_025;E1;5.0;5.0;17;0
E2;BLUD_007_7+35d_prett_t1-t3_df5_025;E2;5.0;5.0;14;0
E3;BLUD_007_7+35d_prett_t1-t3_df5_025;E3;5.0;5.0;21;0
E4;BLUD_007_7+35d_prett_t1-t3_df5_025;E4;5.0;5.0;18;0
E5;BLUD_007_7+35d_prett_t1-t3_df5_025;E5;5.0;5.0;23;0
E6;BLUD_007_7+35d_prett_t1-t3_df5_025;E6;5.0;5.0;24;0
E7;BLUD_007_7+35d_prett_t1-t3_df5_025;E7;5.0;5.0;13;0
E8;BLUD_007_7+35d_prett_t1-t3_df5_025;E8;5.0;5.0;15;0
E9;BLUD_007_7+35d_prett_t1-t3_df5_025;E9;5.0;5.0;23;0
E10;BLUD_007_7+35d_prett_t1-t3_df5_025;E10;5.0;5.0;28;0
E11;BLUD_007_7+35d_prett_t1-t3_df5_025;E11;5.0;5.0;33;0
E12;BLUD_007_7+35d_prett_t1-t3_df5_025;E12;5.0;5.0;23;0
F1;BLUD_007_7+35d_prett_t1-t3_df5_025;F1;5.0;5.0;10;0
F2;BLUD_007_7+35d_prett_t1-t3_df5_025;F2;5.0;5.0;11;0
F3;BLUD_007_7+35d_prett_t1-t3_df5_025;F3;5.0;5.0;23;0
F4;BLUD_007_7+35d_prett_t1-t3_df5_025;F4;5.0;5.0;29;0
F5;BLUD_007_7+35d_prett_t1-t3_df5_025;F5;5.0;5.0;18;0
F6;BLUD_007_7+35d_prett_t1-t3_df5_025;F6;5.0;5.0;30;0
F7;BLUD_007_7+35d_prett_t1-t3_df5_025;F7;5.0;5.0;25;0
F8;BLUD_007_7+35d_prett_t1-t3_df5_025;F8;5.0;5.0;19;0
F9;BLUD_007_7+35d_prett_t1-t3_df5_025;F9;5.0;5.0;31;0
F10;BLUD_007_7+35d_prett_t1-t3_df5_025;F10;5.0;5.0;33;0
F11;BLUD_007_7+35d_prett_t1-t3_df5_025;F11;5.0;5.0;37;0
F12;BLUD_007_7+35d_prett_t1-t3_df5_025;F12;5.0;5.0;30;0
G1;BLUD_007_7+35d_prett_t1-t3_df5_025;G1;5.0;5.0;16;0
G2;BLUD_007_7+35d_prett_t1-t3_df5_025;G2;5.0;5.0;18;0
G3;BLUD_007_7+35d_prett_t1-t3_df5_025;G3;5.0;5.0;23;0
G4;BLUD_007_7+35d_prett_t1-t3_df5_025;G4;5.0;5.0;27;0
G5;BLUD_007_7+35d_prett_t1-t3_df5_025;G5;5.0;5.0;26;0
G6;BLUD_007_7+35d_prett_t1-t3_df5_025;G6;5.0;5.0;29;0
G7;BLUD_007_7+35d_prett_t1-t3_df5_025;G7;5.0;5.0;19;0
G8;BLUD_007_7+35d_prett_t1-t3_df5_025;G8;5.0;5.0;16;0
G9;BLUD_007_7+35d_prett_t1-t3_df5_025;G9;5.0;5.0;27;0
G10;BLUD_007_7+35d_prett_t1-t3_df5_025;G10;5.0;5.0;12;0
G11;BLUD_007_7+35d_prett_t1-t3_df5_025;G11;5.0;5.0;34;0
G12;BLUD_007_7+35d_prett_t1-t3_df5_025;G12;5.0;5.0;29;0
H1;BLUD_007_7+35d_prett_t1-t3_df5_025;H1;5.0;5.0;14;0
H2;BLUD_007_7+35d_prett_t1-t3_df5_025;H2;5.0;5.0;12;0
H3;BLUD_007_7+35d_prett_t1-t3_df5_025;H3;5.0;5.0;30;0
H4;BLUD_007_7+35d_prett_t1-t3_df5_025;H4;5.0;5.0;21;0
H5;BLUD_007_7+35d_prett_t1-t3_df5_025;H5;5.0;5.0;19;0
H6;BLUD_007_7+35d_prett_t1-t3_df5_025;H6;5.0;5.0;21;0
H7;BLUD_007_7+35d_prett_t1-t3_df5_025;H7;5.0;5.0;21;0
H8;BLUD_007_7+35d_prett_t1-t3_df5_025;H8;5.0;5.0;15;0
H9;BLUD_007_7+35d_prett_t1-t3_df5_025;H9;5.0;5.0;24;0
H10;BLUD_007_7+35d_prett_t1-t3_df5_025;H10;5.0;5.0;16;0
H11;BLUD_007_7+35d_prett_t1-t3_df5_025;H11;5.0;5.0;26;0
H12;BLUD_007_7+35d_prett_t1-t3_df5_025;H12;5.0;5.0;0;1
A1;BLUD_007_7+35d_prett_t1-t3_df5_026;A1;5.0;5.0;16;0
A2;BLUD_007_7+35d_prett_t1-t3_df5_026;A2;5.0;5.0;20;0
A3;BLUD_007_7+35d_prett_t1-t3_df5_026;A3;5.0;5.0;34;0
A4;BLUD_007_7+35d_prett_t1-t3_df5_026;A4;5.0;5.0;21;0
A5;BLUD_007_7+35d_prett_t1-t3_df5_026;A5;5.0;5.0;23;0
A6;BLUD_007_7+35d_prett_t1-t3_df5_026;A6;5.0;5.0;25;0
A7;BLUD_007_7+35d_prett_t1-t3_df5_026;A7;5.0;5.0;19;0
A8;BLUD_007_7+35d_prett_t1-t3_df5_026;A8;5.0;5.0;22;0
A9;BLUD_007_7+35d_prett_t1-t3_df5_026;A9;5.0;5.0;28;0
A10;BLUD_007_7+35d_prett_t1-t3_df5_026;A10;5.0;5.0;14;0
A11;BLUD_007_7+35d_prett_t1-t3_df5_026;A11;5.0;5.0;28;0
A12;BLUD_007_7+35d_prett_t1-t3_df5_026;A12;5.0;5.0;28;0
B1;BLUD_007_7+35d_prett_t1-t3_df5_026;B1;5.0;5.0;15;0
B2;BLUD_007_7+35d_prett_t1-t3_df5_026;B2;5.0;5.0;18;0
B3;BLUD_007_7+35d_prett_t1-t3_df5_026;B3;5.0;5.0;52;0
B4;BLUD_007_7+35d_prett_t1-t3_df5_026;B4;5.0;5.0;36;0
B5;BLUD_007_7+35d_prett_t1-t3_df5_026;B5;5.0;5.0;27;0
B6;BLUD_007_7+35d_prett_t1-t3_df5_026;B6;5.0;5.0;30;0
B7;BLUD_007_7+35d_prett_t1-t3_df5_026;B7;5.0;5.0;19;0
B8;BLUD_007_7+35d_prett_t1-t3_df5_026;B8;5.0;5.0;22;0
B9;BLUD_007_7+35d_prett_t1-t3_df5_026;B9;5.0;5.0;22;0
B10;BLUD_007_7+35d_prett_t1-t3_df5_026;B10;5.0;5.0;20;0
B11;BLUD_007_7+35d_prett_t1-t3_df5_026;B11;5.0;5.0;39;0
B12;BLUD_007_7+35d_prett_t1-t3_df5_026;B12;5.0;5.0;35;0
C1;BLUD_007_7+35d_prett_t1-t3_df5_026;C1;5.0;5.0;21;0
C2;BLUD_007_7+35d_prett_t1-t3_df5_026;C2;5.0;5.0;19;0
C3;BLUD_007_7+35d_prett_t1-t3_df5_026;C3;5.0;5.0;32;0
C4;BLUD_007_7+35d_prett_t1-t3_df5_026;C4;5.0;5.0;29;0
C5;BLUD_007_7+35d_prett_t1-t3_df5_026;C5;5.0;5.0;37;0
C6;BLUD_007_7+35d_prett_t1-t3_df5_026;C6;5.0;5.0;32;0
C7;BLUD_007_7+35d_prett_t1-t3_df5_026;C7;5.0;5.0;28;0
C8;BLUD_007_7+35d_prett_t1-t3_df5_026;C8;5.0;5.0;33;0
C9;BLUD_007_7+35d_prett_t1-t3_df5_026;C9;5.0;5.0;22;0
C10;BLUD_007_7+35d_prett_t1-t3_df5_026;C10;5.0;5.0;29;0
C11;BLUD_007_7+35d_prett_t1-t3_df5_026;C11;5.0;5.0;41;0
C12;BLUD_007_7+35d_prett_t1-t3_df5_026;C12;5.0;5.0;37;0
D1;BLUD_007_7+35d_prett_t1-t3_df5_026;D1;5.0;5.0;20;0
D2;BLUD_007_7+35d_prett_t1-t3_df5_026;D2;5.0;5.0;17;0
D3;BLUD_007_7+35d_prett_t1-t3_df5_026;D3;5.0;5.0;35;0
D4;BLUD_007_7+35d_prett_t1-t3_df5_026;D4;5.0;5.0;31;0
D5;BLUD_007_7+35d_prett_t1-t3_df5_026;D5;5.0;5.0;31;0
D6;BLUD_007_7+35d_prett_t1-t3_df5_026;D6;5.0;5.0;36;0
D7;BLUD_007_7+35d_prett_t1-t3_df5_026;D7;5.0;5.0;24;0
D8;BLUD_007_7+35d_prett_t1-t3_df5_026;D8;5.0;5.0;22;0
D9;BLUD_007_7+35d_prett_t1-t3_df5_026;D9;5.0;5.0;34;0
D10;BLUD_007_7+35d_prett_t1-t3_df5_026;D10;5.0;5.0;22;0
D11;BLUD_007_7+35d_prett_t1-t3_df5_026;D11;5.0;5.0;25;0
D12;BLUD_007_7+35d_prett_t1-t3_df5_026;D12;5.0;5.0;30;0
E1;BLUD_007_7+35d_prett_t1-t3_df5_026;E1;5.0;5.0;14;0
E2;BLUD_007_7+35d_prett_t1-t3_df5_026;E2;5.0;5.0;20;0
E3;BLUD_007_7+35d_prett_t1-t3_df5_026;E3;5.0;5.0;34;0
E4;BLUD_007_7+35d_prett_t1-t3_df5_026;E4;5.0;5.0;30;0
E5;BLUD_007_7+35d_prett_t1-t3_df5_026;E5;5.0;5.0;33;0
E6;BLUD_007_7+35d_prett_t1-t3_df5_026;E6;5.0;5.0;28;0
E7;BLUD_007_7+35d_prett_t1-t3_df5_026;E7;5.0;5.0;26;0
E8;BLUD_007_7+35d_prett_t1-t3_df5_026;E8;5.0;5.0;33;0
E9;BLUD_007_7+35d_prett_t1-t3_df5_026;E9;5.0;5.0;22;0
E10;BLUD_007_7+35d_prett_t1-t3_df5_026;E10;5.0;5.0;25;0
E11;BLUD_007_7+35d_prett_t1-t3_df5_026;E11;5.0;5.0;34;0
E12;BLUD_007_7+35d_prett_t1-t3_df5_026;E12;5.0;5.0;31;0
F1;BLUD_007_7+35d_prett_t1-t3_df5_026;F1;5.0;5.0;23;0
F2;BLUD_007_7+35d_prett_t1-t3_df5_026;F2;5.0;5.0;14;0
F3;BLUD_007_7+35d_prett_t1-t3_df5_026;F3;5.0;5.0;29;0
F4;BLUD_007_7+35d_prett_t1-t3_df5_026;F4;5.0;5.0;31;0
F5;BLUD_007_7+35d_prett_t1-t3_df5_026;F5;5.0;5.0;16;0
F6;BLUD_007_7+35d_prett_t1-t3_df5_026;F6;5.0;5.0;25;0
F7;BLUD_007_7+35d_prett_t1-t3_df5_026;F7;5.0;5.0;26;0
F8;BLUD_007_7+35d_prett_t1-t3_df5_026;F8;5.0;5.0;19;0
F9;BLUD_007_7+35d_prett_t1-t3_df5_026;F9;5.0;5.0;41;0
F10;BLUD_007_7+35d_prett_t1-t3_df5_026;F10;5.0;5.0;30;0
F11;BLUD_007_7+35d_prett_t1-t3_df5_026;F11;5.0;5.0;46;0
F12;BLUD_007_7+35d_prett_t1-t3_df5_026;F12;5.0;5.0;35;0
G1;BLUD_007_7+35d_prett_t1-t3_df5_026;G1;5.0;5.0;21;0
G2;BLUD_007_7+35d_prett_t1-t3_df5_026;G2;5.0;5.0;17;0
G3;BLUD_007_7+35d_prett_t1-t3_df5_026;G3;5.0;5.0;29;0
G4;BLUD_007_7+35d_prett_t1-t3_df5_026;G4;5.0;5.0;34;0
G5;BLUD_007_7+35d_prett_t1-t3_df5_026;G5;5.0;5.0;27;0
G6;BLUD_007_7+35d_prett_t1-t3_df5_026;G6;5.0;5.0;34;0
G7;BLUD_007_7+35d_prett_t1-t3_df5_026;G7;5.0;5.0;23;0
G8;BLUD_007_7+35d_prett_t1-t3_df5_026;G8;5.0;5.0;32;0
G9;BLUD_007_7+35d_prett_t1-t3_df5_026;G9;5.0;5.0;31;0
G10;BLUD_007_7+35d_prett_t1-t3_df5_026;G10;5.0;5.0;11;0
G11;BLUD_007_7+35d_prett_t1-t3_df5_026;G11;5.0;5.0;44;0
G12;BLUD_007_7+35d_prett_t1-t3_df5_026;G12;5.0;5.0;29;0
H1;BLUD_007_7+35d_prett_t1-t3_df5_026;H1;5.0;5.0;18;0
H2;BLUD_007_7+35d_prett_t1-t3_df5_026;H2;5.0;5.0;19;0
H3;BLUD_007_7+35d_prett_t1-t3_df5_026;H3;5.0;5.0;33;0
H4;BLUD_007_7+35d_prett_t1-t3_df5_026;H4;5.0;5.0;27;0
H5;BLUD_007_7+35d_prett_t1-t3_df5_026;H5;5.0;5.0;29;0
H6;BLUD_007_7+35d_prett_t1-t3_df5_026;H6;5.0;5.0;24;0
H7;BLUD_007_7+35d_prett_t1-t3_df5_026;H7;5.0;5.0;23;0
H8;BLUD_007_7+35d_prett_t1-t3_df5_026;H8;5.0;5.0;26;0
H9;BLUD_007_7+35d_prett_t1-t3_df5_026;H9;5.0;5.0;41;0
H10;BLUD_007_7+35d_prett_t1-t3_df5_026;H10;5.0;5.0;20;0
H11;BLUD_007_7+35d_prett_t1-t3_df5_026;H11;5.0;5.0;38;0
H12;BLUD_007_7+35d_prett_t1-t3_df5_026;H12;5.0;5.0;49;0
A1;BLUD_007_7+35d_prett_t12-t13_df3125_072;A1;5.0;3125.0;1;0
A2;BLUD_007_7+35d_prett_t12-t13_df3125_072;A2;5.0;3125.0;0;0
A3;BLUD_007_7+35d_prett_t12-t13_df3125_072;A3;5.0;3125.0;0;1
A4;BLUD_007_7+35d_prett_t12-t13_df3125_072;A4;5.0;3125.0;7;0
A5;BLUD_007_7+35d_prett_t12-t13_df3125_072;A5;5.0;3125.0;0;1
A6;BLUD_007_7+35d_prett_t12-t13_df3125_072;A6;5.0;3125.0;0;1
A7;BLUD_007_7+35d_prett_t12-t13_df3125_072;A7;5.0;3125.0;15;0
A8;BLUD_007_7+35d_prett_t12-t13_df3125_072;A8;5.0;3125.0;0;0
A9;BLUD_007_7+35d_prett_t12-t13_df3125_072;A9;5.0;3125.0;0;0
A10;BLUD_007_7+35d_prett_t12-t13_df3125_072;A10;5.0;3125.0;0;0
A11;BLUD_007_7+35d_prett_t12-t13_df3125_072;A11;5.0;3125.0;0;0
A12;BLUD_007_7+35d_prett_t12-t13_df3125_072;A12;5.0;3125.0;0;0
B1;BLUD_007_7+35d_prett_t12-t13_df3125_072;B1;5.0;3125.0;5;0
B2;BLUD_007_7+35d_prett_t12-t13_df3125_072;B2;5.0;3125.0;0;0
B3;BLUD_007_7+35d_prett_t12-t13_df3125_072;B3;5.0;3125.0;2;0
B4;BLUD_007_7+35d_prett_t12-t13_df3125_072;B4;5.0;3125.0;7;0
B5;BLUD_007_7+35d_prett_t12-t13_df3125_072;B5;5.0;3125.0;1;0
B6;BLUD_007_7+35d_prett_t12-t13_df3125_072;B6;5.0;3125.0;15;0
B7;BLUD_007_7+35d_prett_t12-t13_df3125_072;B7;5.0;3125.0;0;1
B8;BLUD_007_7+35d_prett_t12-t13_df3125_072;B8;5.0;3125.0;0;0
B9;BLUD_007_7+35d_prett_t12-t13_df3125_072;B9;5.0;3125.0;0;0
B10;BLUD_007_7+35d_prett_t12-t13_df3125_072;B10;5.0;3125.0;0;0
B11;BLUD_007_7+35d_prett_t12-t13_df3125_072;B11;5.0;3125.0;0;0
B12;BLUD_007_7+35d_prett_t12-t13_df3125_072;B12;5.0;3125.0;0;0
C1;BLUD_007_7+35d_prett_t12-t13_df3125_072;C1;5.0;3125.0;1;0
C2;BLUD_007_7+35d_prett_t12-t13_df3125_072;C2;5.0;3125.0;0;0
C3;BLUD_007_7+35d_prett_t12-t13_df3125_072;C3;5.0;3125.0;8;0
C4;BLUD_007_7+35d_prett_t12-t13_df3125_072;C4;5.0;3125.0;12;0
C5;BLUD_007_7+35d_prett_t12-t13_df3125_072;C5;5.0;3125.0;0;1
C6;BLUD_007_7+35d_prett_t12-t13_df3125_072;C6;5.0;3125.0;14;0
C7;BLUD_007_7+35d_prett_t12-t13_df3125_072;C7;5.0;3125.0;0;1
C8;BLUD_007_7+35d_prett_t12-t13_df3125_072;C8;5.0;3125.0;0;0
C9;BLUD_007_7+35d_prett_t12-t13_df3125_072;C9;5.0;3125.0;0;0
C10;BLUD_007_7+35d_prett_t12-t13_df3125_072;C10;5.0;3125.0;0;0
C11;BLUD_007_7+35d_prett_t12-t13_df3125_072;C11;5.0;3125.0;0;0
C12;BLUD_007_7+35d_prett_t12-t13_df3125_072;C12;5.0;3125.0;0;0
D1;BLUD_007_7+35d_prett_t12-t13_df3125_072;D1;5.0;3125.0;9;0
D2;BLUD_007_7+35d_prett_t12-t13_df3125_072;D2;5.0;3125.0;0;0
D3;BLUD_007_7+35d_prett_t12-t13_df3125_072;D3;5.0;3125.0;11;0
D4;BLUD_007_7+35d_prett_t12-t13_df3125_072;D4;5.0;3125.0;10;0
D5;BLUD_007_7+35d_prett_t12-t13_df3125_072;D5;5.0;3125.0;0;1
D6;BLUD_007_7+35d_prett_t12-t13_df3125_072;D6;5.0;3125.0;4;0
D7;BLUD_007_7+35d_prett_t12-t13_df3125_072;D7;5.0;3125.0;0;1
D8;BLUD_007_7+35d_prett_t12-t13_df3125_072;D8;5.0;3125.0;0;0
D9;BLUD_007_7+35d_prett_t12-t13_df3125_072;D9;5.0;3125.0;0;0
D10;BLUD_007_7+35d_prett_t12-t13_df3125_072;D10;5.0;3125.0;0;0
D11;BLUD_007_7+35d_prett_t12-t13_df3125_072;D11;5.0;3125.0;0;0
D12;BLUD_007_7+35d_prett_t12-t13_df3125_072;D12;5.0;3125.0;0;0
E1;BLUD_007_7+35d_prett_t12-t13_df3125_072;E1;5.0;3125.0;7;0
E2;BLUD_007_7+35d_prett_t12-t13_df3125_072;E2;5.0;3125.0;0;0
E3;BLUD_007_7+35d_prett_t12-t13_df3125_072;E3;5.0;3125.0;5;0
E4;BLUD_007_7+35d_prett_t12-t13_df3125_072;E4;5.0;3125.0;0;1
E5;BLUD_007_7+35d_prett_t12-t13_df3125_072;E5;5.0;3125.0;4;0
E6;BLUD_007_7+35d_prett_t12-t13_df3125_072;E6;5.0;3125.0;13;0
E7;BLUD_007_7+35d_prett_t12-t13_df3125_072;E7;5.0;3125.0;3;0
E8;BLUD_007_7+35d_prett_t12-t13_df3125_072;E8;5.0;3125.0;0;0
E9;BLUD_007_7+35d_prett_t12-t13_df3125_072;E9;5.0;3125.0;0;0
E10;BLUD_007_7+35d_prett_t12-t13_df3125_072;E10;5.0;3125.0;0;0
E11;BLUD_007_7+35d_prett_t12-t13_df3125_072;E11;5.0;3125.0;0;0
E12;BLUD_007_7+35d_prett_t12-t13_df3125_072;E12;5.0;3125.0;0;0
F1;BLUD_007_7+35d_prett_t12-t13_df3125_072;F1;5.0;3125.0;6;0
F2;BLUD_007_7+35d_prett_t12-t13_df3125_072;F2;5.0;3125.0;0;0
F3;BLUD_007_7+35d_prett_t12-t13_df3125_072;F3;5.0;3125.0;5;0
F4;BLUD_007_7+35d_prett_t12-t13_df3125_072;F4;5.0;3125.0;9;0
F5;BLUD_007_7+35d_prett_t12-t13_df3125_072;F5;5.0;3125.0;2;0
F6;BLUD_007_7+35d_prett_t12-t13_df3125_072;F6;5.0;3125.0;4;0
F7;BLUD_007_7+35d_prett_t12-t13_df3125_072;F7;5.0;3125.0;2;0
F8;BLUD_007_7+35d_prett_t12-t13_df3125_072;F8;5.0;3125.0;0;0
F9;BLUD_007_7+35d_prett_t12-t13_df3125_072;F9;5.0;3125.0;0;0
F10;BLUD_007_7+35d_prett_t12-t13_df3125_072;F10;5.0;3125.0;0;0
F11;BLUD_007_7+35d_prett_t12-t13_df3125_072;F11;5.0;3125.0;0;0
F12;BLUD_007_7+35d_prett_t12-t13_df3125_072;F12;5.0;3125.0;0;0
G1;BLUD_007_7+35d_prett_t12-t13_df3125_072;G1;5.0;3125.0;6;0
G2;BLUD_007_7+35d_prett_t12-t13_df3125_072;G2;5.0;3125.0;0;0
G3;BLUD_007_7+35d_prett_t12-t13_df3125_072;G3;5.0;3125.0;10;0
G4;BLUD_007_7+35d_prett_t12-t13_df3125_072;G4;5.0;3125.0;9;0
G5;BLUD_007_7+35d_prett_t12-t13_df3125_072;G5;5.0;3125.0;1;0
G6;BLUD_007_7+35d_prett_t12-t13_df3125_072;G6;5.0;3125.0;0;1
G7;BLUD_007_7+35d_prett_t12-t13_df3125_072;G7;5.0;3125.0;3;0
G8;BLUD_007_7+35d_prett_t12-t13_df3125_072;G8;5.0;3125.0;0;0
G9;BLUD_007_7+35d_prett_t12-t13_df3125_072;G9;5.0;3125.0;0;0
G10;BLUD_007_7+35d_prett_t12-t13_df3125_072;G10;5.0;3125.0;0;0
G11;BLUD_007_7+35d_prett_t12-t13_df3125_072;G11;5.0;3125.0;0;0
G12;BLUD_007_7+35d_prett_t12-t13_df3125_072;G12;5.0;3125.0;0;0
H1;BLUD_007_7+35d_prett_t12-t13_df3125_072;H1;5.0;3125.0;4;0
H2;BLUD_007_7+35d_prett_t12-t13_df3125_072;H2;5.0;3125.0;0;0
H3;BLUD_007_7+35d_prett_t12-t13_df3125_072;H3;5.0;3125.0;0;1
H4;BLUD_007_7+35d_prett_t12-t13_df3125_072;H4;5.0;3125.0;0;1
H5;BLUD_007_7+35d_prett_t12-t13_df3125_072;H5;5.0;3125.0;1;0
H6;BLUD_007_7+35d_prett_t12-t13_df3125_072;H6;5.0;3125.0;22;0
H7;BLUD_007_7+35d_prett_t12-t13_df3125_072;H7;5.0;3125.0;4;0
H8;BLUD_007_7+35d_prett_t12-t13_df3125_072;H8;5.0;3125.0;0;0
H9;BLUD_007_7+35d_prett_t12-t13_df3125_072;H9;5.0;3125.0;0;0
H10;BLUD_007_7+35d_prett_t12-t13_df3125_072;H10;5.0;3125.0;0;0
H11;BLUD_007_7+35d_prett_t12-t13_df3125_072;H11;5.0;3125.0;0;0
H12;BLUD_007_7+35d_prett_t12-t13_df3125_072;H12;5.0;3125.0;0;0
A1;BLUD_007_7+35d_prett_t12-t13_df3125_073;A1;5.0;3125.0;1;0
A2;BLUD_007_7+35d_prett_t12-t13_df3125_073;A2;5.0;3125.0;0;0
A3;BLUD_007_7+35d_prett_t12-t13_df3125_073;A3;5.0;3125.0;5;0
A4;BLUD_007_7+35d_prett_t12-t13_df3125_073;A4;5.0;3125.0;4;0
A5;BLUD_007_7+35d_prett_t12-t13_df3125_073;A5;5.0;3125.0;1;0
A6;BLUD_007_7+35d_prett_t12-t13_df3125_073;A6;5.0;3125.0;4;0
A7;BLUD_007_7+35d_prett_t12-t13_df3125_073;A7;5.0;3125.0;9;0
A8;BLUD_007_7+35d_prett_t12-t13_df3125_073;A8;5.0;3125.0;0;0
A9;BLUD_007_7+35d_prett_t12-t13_df3125_073;A9;5.0;3125.0;0;0
A10;BLUD_007_7+35d_prett_t12-t13_df3125_073;A10;5.0;3125.0;0;0
A11;BLUD_007_7+35d_prett_t12-t13_df3125_073;A11;5.0;3125.0;0;0
A12;BLUD_007_7+35d_prett_t12-t13_df3125_073;A12;5.0;3125.0;0;0
B1;BLUD_007_7+35d_prett_t12-t13_df3125_073;B1;5.0;3125.0;0;1
B2;BLUD_007_7+35d_prett_t12-t13_df3125_073;B2;5.0;3125.0;0;0
B3;BLUD_007_7+35d_prett_t12-t13_df3125_073;B3;5.0;3125.0;5;0
B4;BLUD_007_7+35d_prett_t12-t13_df3125_073;B4;5.0;3125.0;7;0
B5;BLUD_007_7+35d_prett_t12-t13_df3125_073;B5;5.0;3125.0;0;1
B6;BLUD_007_7+35d_prett_t12-t13_df3125_073;B6;5.0;3125.0;12;0
B7;BLUD_007_7+35d_prett_t12-t13_df3125_073;B7;5.0;3125.0;2;0
B8;BLUD_007_7+35d_prett_t12-t13_df3125_073;B8;5.0;3125.0;0;0
B9;BLUD_007_7+35d_prett_t12-t13_df3125_073;B9;5.0;3125.0;0;0
B10;BLUD_007_7+35d_prett_t12-t13_df3125_073;B10;5.0;3125.0;0;0
